"respondent","round","profile","att_1","att_2","att_3","att_4","att_5","dv"
27,2,8,1,1,0,1,1,6
28,1,1,0,0,0,0,0,2
28,1,2,0,0,0,1,1,3
28,1,3,0,1,1,0,1,3
28,1,4,0,1,1,1,0,2
28,1,5,1,0,1,0,1,3
28,1,6,1,0,1,1,0,5
28,1,7,1,1,0,0,0,3
28,1,8,1,1,0,1,1,4
28,2,1,0,0,0,0,0,1
28,2,2,0,0,0,1,1,2
28,2,3,0,1,1,0,1,2
28,2,4,0,1,1,1,0,3
28,2,5,1,0,1,0,1,4
28,2,6,1,0,1,1,0,4
28,2,7,1,1,0,0,0,5
28,2,8,1,1,0,1,1,6
29,1,1,0,0,0,0,0,1
29,1,2,0,0,0,1,1,4
29,1,3,0,1,1,0,1,6
29,1,4,0,1,1,1,0,5
29,1,5,1,0,1,0,1,5
29,1,6,1,0,1,1,0,4
29,1,7,1,1,0,0,0,3
29,1,8,1,1,0,1,1,6
29,2,1,0,0,0,0,0,1
29,2,2,0,0,0,1,1,3
29,2,3,0,1,1,0,1,5
29,2,4,0,1,1,1,0,4
29,2,5,1,0,1,0,1,5
29,2,6,1,0,1,1,0,4
29,2,7,1,1,0,0,0,5
29,2,8,1,1,0,1,1,6
30,1,1,0,0,0,0,0,1
30,1,2,0,0,0,1,1,2
30,1,3,0,1,1,0,1,3
30,1,4,0,1,1,1,0,5
30,1,5,1,0,1,0,1,4
30,1,6,1,0,1,1,0,6
30,1,7,1,1,0,0,0,5
30,1,8,1,1,0,1,1,6
30,2,1,0,0,0,0,0,1
30,2,2,0,0,0,1,1,2
30,2,3,0,1,1,0,1,4
30,2,4,0,1,1,1,0,5
30,2,5,1,0,1,0,1,6
30,2,6,1,0,1,1,0,6
30,2,7,1,1,0,0,0,5
30,2,8,1,1,0,1,1,6
31,1,1,0,0,0,0,0,3
31,1,2,0,0,0,1,1,4
31,1,3,0,1,1,0,1,4
31,1,4,0,1,1,1,0,4
31,1,5,1,0,1,0,1,5
31,1,6,1,0,1,1,0,5
31,1,7,1,1,0,0,0,4
31,1,8,1,1,0,1,1,5
31,2,1,0,0,0,0,0,3
31,2,2,0,0,0,1,1,4
31,2,3,0,1,1,0,1,3
31,2,4,0,1,1,1,0,4
31,2,5,1,0,1,0,1,5
31,2,6,1,0,1,1,0,5
31,2,7,1,1,0,0,0,4
31,2,8,1,1,0,1,1,5
32,1,1,0,0,0,0,0,1
32,1,2,0,0,0,1,1,2
32,1,3,0,1,1,0,1,3
32,1,4,0,1,1,1,0,5
32,1,5,1,0,1,0,1,5
32,1,6,1,0,1,1,0,5
32,1,7,1,1,0,0,0,4
32,1,8,1,1,0,1,1,6
32,2,1,0,0,0,0,0,1
32,2,2,0,0,0,1,1,2
32,2,3,0,1,1,0,1,4
32,2,4,0,1,1,1,0,5
32,2,5,1,0,1,0,1,5
32,2,6,1,0,1,1,0,6
32,2,7,1,1,0,0,0,4
32,2,8,1,1,0,1,1,6
33,1,1,0,0,0,0,0,1
33,1,2,0,0,0,1,1,4
33,1,3,0,1,1,0,1,4
33,1,4,0,1,1,1,0,4
33,1,5,1,0,1,0,1,5
33,1,6,1,0,1,1,0,5
33,1,7,1,1,0,0,0,3
33,1,8,1,1,0,1,1,5
33,2,1,0,0,0,0,0,1
33,2,2,0,0,0,1,1,3
33,2,3,0,1,1,0,1,4
33,2,4,0,1,1,1,0,4
33,2,5,1,0,1,0,1,5
33,2,6,1,0,1,1,0,5
33,2,7,1,1,0,0,0,3
33,2,8,1,1,0,1,1,5
34,1,1,0,0,0,0,0,1
34,1,2,0,0,0,1,1,2
34,1,3,0,1,1,0,1,3
34,1,4,0,1,1,1,0,4
34,1,5,1,0,1,0,1,5
34,1,6,1,0,1,1,0,6
34,1,7,1,1,0,0,0,5
34,1,8,1,1,0,1,1,7
34,2,1,0,0,0,0,0,1
34,2,2,0,0,0,1,1,3
34,2,3,0,1,1,0,1,4
34,2,4,0,1,1,1,0,5
34,2,5,1,0,1,0,1,5
34,2,6,1,0,1,1,0,6
34,2,7,1,1,0,0,0,5
34,2,8,1,1,0,1,1,7
35,1,1,0,0,0,0,0,1
35,1,2,0,0,0,1,1,2
35,1,3,0,1,1,0,1,3
35,1,4,0,1,1,1,0,5
35,1,5,1,0,1,0,1,3
35,1,6,1,0,1,1,0,6
35,1,7,1,1,0,0,0,7
35,1,8,1,1,0,1,1,5
35,2,1,0,0,0,0,0,1
35,2,2,0,0,0,1,1,3
35,2,3,0,1,1,0,1,5
35,2,4,0,1,1,1,0,7
35,2,5,1,0,1,0,1,4
35,2,6,1,0,1,1,0,5
35,2,7,1,1,0,0,0,6
35,2,8,1,1,0,1,1,5
36,1,1,0,0,0,0,0,1
36,1,2,0,0,0,1,1,3
36,1,3,0,1,1,0,1,2
36,1,4,0,1,1,1,0,5
36,1,5,1,0,1,0,1,2
36,1,6,1,0,1,1,0,7
36,1,7,1,1,0,0,0,3
36,1,8,1,1,0,1,1,7
36,2,1,0,0,0,0,0,1
36,2,2,0,0,0,1,1,3
36,2,3,0,1,1,0,1,2
36,2,4,0,1,1,1,0,5
36,2,5,1,0,1,0,1,3
36,2,6,1,0,1,1,0,6
36,2,7,1,1,0,0,0,3
36,2,8,1,1,0,1,1,6
37,1,1,0,0,0,0,0,1
37,1,2,0,0,0,1,1,1
37,1,3,0,1,1,0,1,3
37,1,4,0,1,1,1,0,3
37,1,5,1,0,1,0,1,6
37,1,6,1,0,1,1,0,6
37,1,7,1,1,0,0,0,6
37,1,8,1,1,0,1,1,6
37,2,1,0,0,0,0,0,1
37,2,2,0,0,0,1,1,2
37,2,3,0,1,1,0,1,2
37,2,4,0,1,1,1,0,3
37,2,5,1,0,1,0,1,6
37,2,6,1,0,1,1,0,6
37,2,7,1,1,0,0,0,5
37,2,8,1,1,0,1,1,6
38,1,1,0,0,0,0,0,1
38,1,2,0,0,0,1,1,2
38,1,3,0,1,1,0,1,3
38,1,4,0,1,1,1,0,3
38,1,5,1,0,1,0,1,5
38,1,6,1,0,1,1,0,5
38,1,7,1,1,0,0,0,4
38,1,8,1,1,0,1,1,7
38,2,1,0,0,0,0,0,1
38,2,2,0,0,0,1,1,2
38,2,3,0,1,1,0,1,4
38,2,4,0,1,1,1,0,5
38,2,5,1,0,1,0,1,6
38,2,6,1,0,1,1,0,5
38,2,7,1,1,0,0,0,4
38,2,8,1,1,0,1,1,7
39,1,1,0,0,0,0,0,1
39,1,2,0,0,0,1,1,3
39,1,3,0,1,1,0,1,4
39,1,4,0,1,1,1,0,3
39,1,5,1,0,1,0,1,5
39,1,6,1,0,1,1,0,6
39,1,7,1,1,0,0,0,5
39,1,8,1,1,0,1,1,6
39,2,1,0,0,0,0,0,1
39,2,2,0,0,0,1,1,2
39,2,3,0,1,1,0,1,5
39,2,4,0,1,1,1,0,4
39,2,5,1,0,1,0,1,5
39,2,6,1,0,1,1,0,5
39,2,7,1,1,0,0,0,6
39,2,8,1,1,0,1,1,6
40,1,1,0,0,0,0,0,1
40,1,2,0,0,0,1,1,1
40,1,3,0,1,1,0,1,2
40,1,4,0,1,1,1,0,3
40,1,5,1,0,1,0,1,4
40,1,6,1,0,1,1,0,4
40,1,7,1,1,0,0,0,5
40,1,8,1,1,0,1,1,3
40,2,1,0,0,0,0,0,1
40,2,2,0,0,0,1,1,1
40,2,3,0,1,1,0,1,5
40,2,4,0,1,1,1,0,3
40,2,5,1,0,1,0,1,5
40,2,6,1,0,1,1,0,4
40,2,7,1,1,0,0,0,5
40,2,8,1,1,0,1,1,4
41,1,1,0,0,0,0,0,1
41,1,2,0,0,0,1,1,2
41,1,3,0,1,1,0,1,3
41,1,4,0,1,1,1,0,3
41,1,5,1,0,1,0,1,5
41,1,6,1,0,1,1,0,5
41,1,7,1,1,0,0,0,4
41,1,8,1,1,0,1,1,7
41,2,1,0,0,0,0,0,1
41,2,2,0,0,0,1,1,2
41,2,3,0,1,1,0,1,2
41,2,4,0,1,1,1,0,2
41,2,5,1,0,1,0,1,5
41,2,6,1,0,1,1,0,7
41,2,7,1,1,0,0,0,6
41,2,8,1,1,0,1,1,6
42,1,1,0,0,0,0,0,1
42,1,2,0,0,0,1,1,1
42,1,3,0,1,1,0,1,2
42,1,4,0,1,1,1,0,4
42,1,5,1,0,1,0,1,5
42,1,6,1,0,1,1,0,6
42,1,7,1,1,0,0,0,4
42,1,8,1,1,0,1,1,7
42,2,1,0,0,0,0,0,1
42,2,2,0,0,0,1,1,2
42,2,3,0,1,1,0,1,2
42,2,4,0,1,1,1,0,2
42,2,5,1,0,1,0,1,2
42,2,6,1,0,1,1,0,5
42,2,7,1,1,0,0,0,3
42,2,8,1,1,0,1,1,6
43,1,1,0,0,0,0,0,1
43,1,2,0,0,0,1,1,2
43,1,3,0,1,1,0,1,3
43,1,4,0,1,1,1,0,3
43,1,5,1,0,1,0,1,2
43,1,6,1,0,1,1,0,4
43,1,7,1,1,0,0,0,3
43,1,8,1,1,0,1,1,4
43,2,1,0,0,0,0,0,1
43,2,2,0,0,0,1,1,2
43,2,3,0,1,1,0,1,3
43,2,4,0,1,1,1,0,3
43,2,5,1,0,1,0,1,4
43,2,6,1,0,1,1,0,3
43,2,7,1,1,0,0,0,2
43,2,8,1,1,0,1,1,4
44,1,1,0,0,0,0,0,1
44,1,2,0,0,0,1,1,3
44,1,3,0,1,1,0,1,3
44,1,4,0,1,1,1,0,4
44,1,5,1,0,1,0,1,5
44,1,6,1,0,1,1,0,6
44,1,7,1,1,0,0,0,5
44,1,8,1,1,0,1,1,7
44,2,1,0,0,0,0,0,1
44,2,2,0,0,0,1,1,3
44,2,3,0,1,1,0,1,3
44,2,4,0,1,1,1,0,3
44,2,5,1,0,1,0,1,4
44,2,6,1,0,1,1,0,7
44,2,7,1,1,0,0,0,5
44,2,8,1,1,0,1,1,7
45,1,1,0,0,0,0,0,1
45,1,2,0,0,0,1,1,1
45,1,3,0,1,1,0,1,5
45,1,4,0,1,1,1,0,6
45,1,5,1,0,1,0,1,4
45,1,6,1,0,1,1,0,5
45,1,7,1,1,0,0,0,3
45,1,8,1,1,0,1,1,3
45,2,1,0,0,0,0,0,1
45,2,2,0,0,0,1,1,1
45,2,3,0,1,1,0,1,4
45,2,4,0,1,1,1,0,5
45,2,5,1,0,1,0,1,5
45,2,6,1,0,1,1,0,5
45,2,7,1,1,0,0,0,2
45,2,8,1,1,0,1,1,4
46,1,1,0,0,0,0,0,2
46,1,2,0,0,0,1,1,4
46,1,3,0,1,1,0,1,5
46,1,4,0,1,1,1,0,5
46,1,5,1,0,1,0,1,4
46,1,6,1,0,1,1,0,6
46,1,7,1,1,0,0,0,5
46,1,8,1,1,0,1,1,6
46,2,1,0,0,0,0,0,2
46,2,2,0,0,0,1,1,4
46,2,3,0,1,1,0,1,5
46,2,4,0,1,1,1,0,5
46,2,5,1,0,1,0,1,5
46,2,6,1,0,1,1,0,5
46,2,7,1,1,0,0,0,5
46,2,8,1,1,0,1,1,6
47,1,1,0,0,0,0,0,2
47,1,2,0,0,0,1,1,2
47,1,3,0,1,1,0,1,4
47,1,4,0,1,1,1,0,4
47,1,5,1,0,1,0,1,6
47,1,6,1,0,1,1,0,6
47,1,7,1,1,0,0,0,5
47,1,8,1,1,0,1,1,6
47,2,1,0,0,0,0,0,2
47,2,2,0,0,0,1,1,2
47,2,3,0,1,1,0,1,5
47,2,4,0,1,1,1,0,4
47,2,5,1,0,1,0,1,6
47,2,6,1,0,1,1,0,5
47,2,7,1,1,0,0,0,5
47,2,8,1,1,0,1,1,6
48,1,1,0,0,0,0,0,1
48,1,2,0,0,0,1,1,1
48,1,3,0,1,1,0,1,4
48,1,4,0,1,1,1,0,4
48,1,5,1,0,1,0,1,4
48,1,6,1,0,1,1,0,4
48,1,7,1,1,0,0,0,5
48,1,8,1,1,0,1,1,6
48,2,1,0,0,0,0,0,1
48,2,2,0,0,0,1,1,2
48,2,3,0,1,1,0,1,4
48,2,4,0,1,1,1,0,4
48,2,5,1,0,1,0,1,5
48,2,6,1,0,1,1,0,5
48,2,7,1,1,0,0,0,5
48,2,8,1,1,0,1,1,7
49,1,1,0,0,0,0,0,1
49,1,2,0,0,0,1,1,2
49,1,3,0,1,1,0,1,4
49,1,4,0,1,1,1,0,4
49,1,5,1,0,1,0,1,6
49,1,6,1,0,1,1,0,5
